customer_id,zip
1,15201
2,15201
3,15201
4,15201
5,15201
6,15202
8,15202
9,15202
10,15202
11,15203
12,15203
13,15203
14,15203
15,15203
16,15204
17,15204
18,15204
20,15204
22,15205
23,15205
24,15205
26,15206
27,15206
30,15206
32,15207
33,15207
35,15207
36,15208
38,15208
41,15209
42,15209
43,15209
44,15209
45,15209
46,15210
47,15210
48,15210
49,15210
50,15210
51,15211
52,15211
53,15211
55,15211
56,15212
57,15212
58,15212
59,15212
60,15212
63,15213
64,15213
67,15214
68,15214
69,15214
70,15214
71,15215
74,15215
75,15215
76,15216
78,15216
79,15216
80,15216
81,15217
82,15217
83,15217
85,15217
86,15218
88,15218
89,15218
90,15218
91,15219
92,15219
94,15219
95,15219
96,15220
98,15220
101,15221
102,15221
103,15221
104,15221
105,15221
106,15222
107,15222
108,15222
109,15222
112,15223
113,15223
114,15223
118,15224
119,15224
120,15224
121,15225
122,15225
125,15225
126,15226
127,15226
131,15227
132,15227
135,15227
136,15228
137,15228
138,15228
139,15228
140,15228
141,15229
142,15229
143,15229
145,15229
146,15232
149,15232
150,15232
152,15233
154,15233
156,15234
157,15234
158,15234
159,15234
160,15234
161,15235
162,15235
163,15235
166,15236
167,15236
168,15236
169,15236
170,15236
172,15237
173,15237
176,15238
177,15238
178,15238
179,15238
180,15238
181,15239
182,15239
184,15239
185,15239
190,15240
191,15241
192,15241
193,15241
195,15241
197,15243
198,15243
217,15295
222,15937
223,15937
224,15937
225,15937
226,15938
227,15938
229,15938
231,15940
232,15940
235,15940
236,15942
238,15942
239,15942
240,15942
241,15943
242,15943
243,15943
245,15943
246,15944
247,15944
248,15944
249,15944
250,15944
251,15945
252,15945
257,15946
258,15946
259,15946
263,15948
267,15949
276,15952
277,15952
278,15952
279,15952
280,15952
281,15954
282,15954
283,15954
284,15954
285,15954
288,15955
289,15955
290,15955
291,15956
292,15956
293,15956
294,15956
295,15956
296,15957
297,15957
302,15958
304,15958
305,15958
306,15959
312,15960
313,15960
314,15960
317,15961
325,15963
326,16001
327,16001
332,16002
334,16002
337,16020
339,16020
342,16022
348,16023
349,16023
350,16023
352,16025
354,16025
361,16028
362,16028
363,16028
366,16029
369,16029
371,16030
373,16030
376,16033
377,16033
378,16033
379,16033
382,16034
384,16034
385,16034
386,16037
387,16037
388,16037
390,16037
392,16038
393,16038
394,16038
395,16038
400,16040
401,16041
402,16041
403,16041
406,16045
407,16045
408,16045
409,16045
410,16045
412,16046
413,16046
414,16046
415,16046
416,16049
417,16049
418,16049
420,16049
422,16050
423,16050
424,16050
426,16051
427,16051
428,16051
429,16051
430,16051
431,16052
432,16052
433,16052
435,16052
436,16053
437,16053
439,16053
446,16055
447,16055
448,16055
450,16055
452,16056
453,16056
454,16056
455,16056
456,16057
457,16057
458,16057
459,16057
460,16057
461,16059
462,16059
463,16059
464,16059
465,16059
466,16061
467,16061
468,16061
469,16061
470,16061
471,16063
472,16063
473,16063
474,16063
475,16063
477,16066
478,16066
480,16066
481,16101
482,16101
483,16101
484,16101
487,16102
488,16102
489,16102
490,16102
491,16105
492,16105
493,16105
494,16105
495,16105
499,16107
504,16110
506,16111
508,16111
510,16111
511,16112
512,16112
513,16112
514,16112
515,16112
517,16115
518,16115
519,16115
520,16115
522,16116
523,16116
525,16116
526,16117
528,16117
529,16117
530,16117
531,16120
532,16120
533,16120
535,16120
536,16123
537,16123
538,16123
539,16123
540,16123
543,16130
544,16130
545,16130
546,16131
549,16131
553,16132
556,16134
557,16134
560,16134
562,16136
563,16136
564,16136
567,16141
569,16141
571,16142
572,16142
573,16142
575,16142
577,16143
578,16143
579,16143
580,16143
584,16151
586,16156
587,16156
588,16156
589,16156
592,16157
593,16157
595,16157
597,16160
598,16160
599,16160
601,16201
602,16201
603,16201
604,16201
605,16201
607,16210
610,16210
616,16214
617,16214
618,16214
619,16214
620,16214
623,16217
626,16218
627,16218
628,16218
629,16218
635,16220
636,16222
637,16222
638,16222
639,16222
640,16222
642,16223
646,16224
648,16224
649,16224
656,16226
657,16226
658,16226
659,16226
660,16226
666,16229
668,16229
669,16229
670,16229
676,16232
677,16232
679,16232
680,16232
684,16233
685,16233
690,16234
691,16235
699,16236
701,16238
704,16238
705,16238
706,16239
707,16239
708,16239
709,16239
710,16239
711,16240
712,16240
714,16240
715,16240
716,16242
717,16242
718,16242
719,16242
720,16242
721,16244
730,16245
731,16246
732,16246
734,16246
736,16248
737,16248
738,16248
739,16248
740,16248
741,16249
743,16249
744,16249
745,16249
748,16253
750,16253
751,16254
753,16254
754,16254
756,16255
757,16255
758,16255
759,16255
760,16255
761,16256
763,16256
764,16256
765,16256
767,16258
768,16258
769,16258
771,16259
772,16259
773,16259
774,16259
775,16259
776,16262
779,16262
780,16262
783,16263
