product_id,product_name,category_id,segment_id,size,color,price,cogs
1,BambooCraft UC-21,5,4,L,orange,19529.37,16287.49458
2,MekongFit UC-07,5,4,M,purple,4409.37,3289.39002
3,SaigonFlex UC-59,5,4,L,white,42.90873487037344,24.500482522900096
4,HanoiStreet UM-36,5,3,S,orange,9109.170000000002,8653.711500000001
5,SaigonFlex UC-97,5,4,S,orange,4844.7,2618.07588
6,SaigonFlex UM-13,5,3,S,pink,16386.067674418606,15566.764290697674
7,VietMotion UC-07,5,4,XL,yellow,5399.825901259964,3136.7588660419133
8,VietMode RS-03,4,6,M,purple,3747.24,2006.272296
9,VietMode RS-10,4,6,S,orange,3873.24,2666.338416
10,MekongFit RS-06,4,6,L,pink,4700.352035928144,4323.853837850299
11,DragonWear RS-04,4,6,XL,black,4787.37,4096.552509
12,HanoiStreet UR-05,5,7,XL,yellow,24.11880205611212,15.539097236098918
13,SaigonCore UE-28,5,5,M,blue,6713.7,3936.91368
14,MekongFit UR-02,5,7,M,purple,4040.82,3302.966268
15,VietMode RP-53,4,1,M,black,4524.5025,2532.36404925
16,HanoiStreet YY-10,2,8,M,yellow,1383.875492256637,862.569594323562
17,HanoiStreet RP-19,4,1,XL,black,1763.37,1675.2015
18,SaigonCore YY-55,2,8,S,red,2319.87,1394.473857
19,UrbanVN RP-19,4,1,S,white,36.38824646707872,20.031511281271698
20,PhoenixWear UE-15,5,5,L,orange,48.7867127569287,29.53634431880544
21,VietMode RP-37,4,1,M,purple,70.30267143482627,44.84266837480951
22,SaigonFlex UE-09,5,5,M,black,6740.37,5806.828755
23,HanoiStreet UC-56,5,4,M,blue,4262.353834196891,3732.117017222798
24,MekongFit UM-01,5,3,S,white,8199.463653250774,7789.490470588234
25,VietMode RP-17,4,1,M,purple,3680.236655518395,2233.535626234114
26,VietMotion UR-09,5,7,L,green,34.42552813113916,21.05784397046665
27,SaigonCore YY-22,2,8,XL,silver,3026.8699999999994,1800.684963
28,DragonWear UR-23,5,7,S,orange,27.271837623888736,15.966630483240037
29,UrbanVN UM-01,5,3,L,white,7359.568083067093,5306.248587891373
30,DragonWear MA-07,1,2,XL,silver,5306.9975,3533.92963525
31,MekongFit UR-03,5,7,L,green,63.622330777404414,35.57434251064229
32,DragonWear UE-02,5,5,L,white,8386.030434782608,7570.06967347826
33,MekongFit UC-23,5,4,M,black,9335.13,8663.00064
34,PhoenixWear UE-03,5,5,L,red,5932.945301204819,4969.434984289157
35,VietMode MA-44,1,2,S,pink,9126.562048192773,6083.7662613253015
36,VietMode RS-17,4,6,XL,yellow,63.52580607525507,35.497372359908915
37,VietMode MA-35,1,2,XL,yellow,6504.159827586207,6178.951836206897
38,VietMode RS-73,4,6,XL,purple,42.33722319297336,25.51411545067808
39,BambooCraft UC-23,5,4,S,white,8222.527894736842,5716.301392421053
40,UrbanVN RP-24,4,1,M,yellow,3728.773125,2876.7484659375
41,MekongFit RP-54,4,1,S,pink,1920.87,1074.1505039999995
42,HanoiStreet UR-04,5,7,L,pink,46.570781307914125,26.69284293338884
43,NamStyle YY-23,2,8,S,orange,3086.37,2034.843741
44,HanoiStreet UC-09,5,4,L,green,8360.990689655173,4980.642153827586
45,LotusWear UE-98,5,5,M,silver,17.80954638992059,10.390523722361548
46,VietMode RP-34,4,1,L,orange,5598.43156996587,3566.2009100682594
47,VietMotion MA-16,1,2,L,orange,3857.993548387097,3393.105325806452
48,DragonWear UR-15,5,7,S,white,5789.7,5500.214999999999
49,UrbanVN UC-05,5,4,L,red,6299.110953947368,5095.98076174342
50,MekongFit UR-06,5,7,M,yellow,440.37,418.3515
51,VietMode MP-15,1,1,XL,silver,5983.74,5684.553
52,VietMode RS-23,4,6,M,purple,5039.37,4674.519612
53,UrbanVN UC-17,5,4,L,orange,4066.0944094488186,3089.418532299212
54,DragonWear UM-25,5,3,L,pink,52.6379968011183,33.92023749086405
55,VietMode RP-50,4,1,L,pink,4912.74,4573.269666
56,VietMode RP-37,4,1,M,purple,4695.103636363637,2763.5380003636365
57,DragonWear UM-09,5,3,L,orange,36.33936099929246,22.64750699760115
58,VietMode RP-25,4,1,M,blue,4346.329468531469,4129.012995104895
59,LotusWear UE-05,5,5,S,white,31.046488659482907,18.375704197914345
60,HanoiStreet YY-12,2,8,XL,black,3527.37,2848.351275
61,HanoiStreet UE-01,5,5,S,orange,20.522407754185355,12.127535551360282
62,MekongFit UE-18,5,5,L,orange,2220.567622820919,2109.539241679873
63,HanoiStreet MA-09,1,2,L,orange,3720.711891891892,3306.5966583243244
64,PhoenixWear UM-12,5,3,M,black,7559.25,6029.257799999999
65,VietMode RP-20,4,1,S,pink,36.21790499641724,22.753484061249328
66,UrbanVN RP-50,4,1,XL,purple,692.3085964912281,657.6931666666666
67,VietMotion UE-12,5,5,L,pink,18.441324087824835,10.163006012294185
68,VietMotion UE-23,5,5,M,yellow,27.987049096151683,17.254118409010175
69,DragonWear UM-20,5,3,M,blue,12532.031818181818,7611.956126363636
70,DragonWear UM-06,5,3,XL,yellow,36.605450135907525,20.8106849942608
71,HanoiStreet RS-08,4,6,S,white,1932.16809976247,1751.3171656247032
72,VietMode RP-67,4,1,XL,purple,33.86188226912265,21.32558243305248
73,HanoiStreet RP-60,4,1,S,orange,-150,1835.397459
74,SaigonCore UE-19,5,5,S,white,7238.7,5703.37173
75,SaigonFlex UC-95,5,4,L,red,6176.85,3866.090415
76,VietMode MP-08,1,1,S,red,5669.37,5385.9015
77,DragonWear UM-35,5,3,S,pink,11844.0,9063.0288
78,MekongFit RP-39,4,1,M,blue,711.0279925650557,525.0230697100371
79,MekongFit MA-10,1,2,S,orange,2991.8146397188048,2762.641638316344
80,VietMode RP-34,4,1,L,orange,4865.717011173184,4293.995262360335
81,HanoiStreet RS-17,4,6,M,blue,3464.37,3291.1515
82,VietMode RP-43,4,1,XL,black,5038.74,4786.803
83,VietMotion YY-10,2,8,M,black,2015.37,1140.9009569999998
84,HanoiStreet RP-51,4,1,XL,blue,3884.3831348511385,2371.8043421401053
85,PhoenixWear UM-02,5,3,XL,black,6929.37,5689.01277
86,HanoiStreet UE-03,5,5,L,white,45.83327377383366,27.7385135332147
87,SaigonCore YY-38,2,8,XL,blue,1704.7910526315789,1064.982970578947
88,VietMode RS-16,4,6,L,pink,34.111613977984184,20.52738566099601
89,HanoiStreet RP-79,4,1,XL,black,811.8865136951651,584.9642331173665
90,MekongStyle UC-14,5,4,L,orange,14486.85,11301.191685
91,HanoiStreet MA-16,1,2,M,yellow,40.76152434416071,24.15601834190016
92,DragonWear UM-38,5,3,XL,black,9513.0,9037.35
93,LotusWear UE-37,5,5,S,green,32.658830942362144,20.310676884020182
94,UrbanVN UE-03,5,5,XL,blue,9308.546470588237,5375.685586764706
95,HanoiStreet UC-27,5,4,S,white,3906.510139211137,2223.9762222529
96,DragonWear RP-21,4,1,L,green,5043.402,4791.2319
97,MekongFit UE-04,5,5,S,pink,4290.57664206642,4000.104603398525
98,PhoenixWear UC-04,5,4,L,white,5039.37,2880.503892
99,BambooCraft UM-03,5,3,M,purple,23.25353179177501,13.33115554071414
100,BambooCraft UM-17,5,3,XL,yellow,12504.491621621622,11879.26704054054
101,UrbanVN UR-27,5,7,S,white,37.44674567601375,23.06139796104344
102,UrbanVN RS-12,4,6,M,blue,1448.37,800.514099
103,UrbanVN MA-05,1,2,S,orange,3973.690133587786,2680.6513641183205
104,HanoiStreet RP-66,4,1,L,pink,1477.4889495225102,1174.308217080491
105,VietMode RP-56,4,1,S,white,3275.37,2097.8744850000003
106,HanoiStreet UM-22,5,3,L,pink,10919.37,10373.4015
107,SaigonFlex UC-22,5,4,M,silver,10090.442604501608,7554.714377990354
108,MekongFit UC-27,5,4,M,purple,2511.495,2353.773114
109,MekongStyle UC-08,5,4,S,green,69.47113022348645,42.87683645159384
110,VietMode RS-45,4,6,XL,silver,5235.2741095890415,4973.510404109589
111,SaigonFlex UC-83,5,4,L,pink,14262.4125,13549.291875
112,HanoiStreet UM-35,5,3,XL,black,35.49075962480593,22.664320123200994
